adsh	grp	arc	negative	ptag	pversion	ctag	cversion
0001144204-18-061015	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001144204-18-065029	1	4	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001144204-18-065031	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001144204-18-065032	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001104659-18-073506	1	7	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001104659-18-073749	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001104659-18-074934	1	7	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001104659-18-074935	1	7	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001144204-18-057257	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001144204-18-060416	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001104659-18-068758	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001104659-18-068799	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001104659-18-068982	1	8	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001104659-18-069240	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001104659-18-072290	1	6	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001104659-18-073499	1	7	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001104659-18-062069	1	8	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001104659-18-062886	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001104659-18-063070	1	4	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001104659-18-064648	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001104659-18-066862	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001104659-18-068756	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0000928816-18-002001	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0000928816-18-002340	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0000940394-18-001699	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001104659-18-060661	1	7	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001104659-18-061799	1	7	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0001104659-18-061821	1	7	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0000894189-18-006560	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0000894189-18-006903	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0000894189-18-007036	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0000908406-18-000090	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0000923084-18-000005	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0000924211-18-000090	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0000894189-18-006242	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0000894189-18-006251	1	8	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0000894189-18-006271	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0000894189-18-006285	1	6	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0000894189-18-006364	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0000894189-18-006499	1	4	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0000894189-18-006176	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0000894189-18-006177	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0000894189-18-006193	1	7	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0000894189-18-006194	1	7	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0000894189-18-006228	1	6	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0000894189-18-006229	1	6	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0000894189-18-005710	1	7	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0000894189-18-005973	1	4	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0000894189-18-005981	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0000894189-18-006001	1	4	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0000894189-18-006097	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0000894189-18-006098	1	7	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0000827060-18-000119	1	8	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0000894189-18-005521	1	6	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0000894189-18-005532	1	6	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0000894189-18-005546	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
0000894189-18-005549	1	5	1	ExpensesOverAssets	rr/2012	AcquiredFundFeesAndExpensesOverAssets	rr/2012
